timestamp,strategy,pair,tf,signal,result,profit_loss
2025-11-26 00:20:21,Aggressive,AUDUSD_otc,M15,BUY,LOSS,-1.0
2025-11-26 00:20:21,Conservative,AUDUSD_otc,M15,BUY,LOSS,-1.0
2025-11-26 00:20:21,Breakout_Focus,AUDUSD_otc,M15,BUY,LOSS,-1.0
2025-11-26 00:20:23,Aggressive,USDCOP_otc,M15,SELL,LOSS,-1.0
2025-11-26 00:20:23,Aggressive,USDCOP_otc,M15,SELL,LOSS,-1.0
2025-11-26 00:20:23,Aggressive,USDCOP_otc,M15,SELL,LOSS,-1.0
2025-11-26 00:20:23,Default,USDARS_otc,M15,SELL,WIN,0.92
2025-11-26 00:20:23,Aggressive,USDARS_otc,M15,SELL,WIN,0.92
2025-11-26 00:20:23,Conservative,USDARS_otc,M15,SELL,WIN,0.92
2025-11-26 00:20:23,Breakout_Focus,USDARS_otc,M15,SELL,WIN,0.92
2025-11-26 00:20:23,Default,USDARS_otc,M15,SELL,WIN,0.92
2025-11-26 00:20:23,Aggressive,USDARS_otc,M15,SELL,WIN,0.92
2025-11-26 00:20:23,Conservative,USDARS_otc,M15,SELL,WIN,0.92
2025-11-26 00:20:23,Breakout_Focus,USDARS_otc,M15,SELL,WIN,0.92
2025-11-26 00:20:23,Default,USDARS_otc,M15,SELL,WIN,0.92
2025-11-26 00:20:23,Aggressive,USDARS_otc,M15,SELL,WIN,0.92
2025-11-26 00:20:23,Conservative,USDARS_otc,M15,SELL,WIN,0.92
2025-11-26 00:20:23,Breakout_Focus,USDARS_otc,M15,SELL,WIN,0.92
2025-11-26 00:20:24,Default,#INTC_otc,M15,BUY,WIN,0.92
2025-11-26 00:20:24,Aggressive,#INTC_otc,M15,BUY,WIN,0.92
2025-11-26 00:20:24,Conservative,#INTC_otc,M15,BUY,WIN,0.92
2025-11-26 00:20:24,Breakout_Focus,#INTC_otc,M15,BUY,WIN,0.92
2025-11-26 00:20:24,Default,#INTC_otc,M15,BUY,WIN,0.92
2025-11-26 00:20:24,Aggressive,#INTC_otc,M15,BUY,WIN,0.92
2025-11-26 00:20:24,Conservative,#INTC_otc,M15,BUY,WIN,0.92
2025-11-26 00:20:24,Breakout_Focus,#INTC_otc,M15,BUY,WIN,0.92
2025-11-26 00:20:24,Default,#INTC_otc,M15,BUY,WIN,0.92
2025-11-26 00:20:24,Aggressive,#INTC_otc,M15,BUY,WIN,0.92
2025-11-26 00:20:24,Conservative,#INTC_otc,M15,BUY,WIN,0.92
2025-11-26 00:20:24,Breakout_Focus,#INTC_otc,M15,BUY,WIN,0.92
2025-11-26 00:25:47,Default,GBPUSD_otc,M5,BUY,WIN,0.92
2025-11-26 00:25:47,Aggressive,GBPUSD_otc,M5,BUY,WIN,0.92
2025-11-26 00:25:47,Conservative,GBPUSD_otc,M5,BUY,WIN,0.92
2025-11-26 00:25:47,Breakout_Focus,GBPUSD_otc,M5,BUY,WIN,0.92
2025-11-26 00:25:48,Aggressive,AUDUSD_otc,M5,BUY,WIN,0.92
2025-11-26 00:25:51,Aggressive,USDARS_otc,M5,SELL,WIN,0.92
2025-11-26 00:25:51,Default,#INTC_otc,M5,BUY,WIN,0.92
2025-11-26 00:25:51,Aggressive,#INTC_otc,M5,BUY,WIN,0.92
2025-11-26 00:25:51,Breakout_Focus,#INTC_otc,M5,BUY,WIN,0.92
2025-11-26 00:25:53,Default,GBPUSD_otc,M10,BUY,WIN,0.92
2025-11-26 00:25:53,Aggressive,GBPUSD_otc,M10,BUY,WIN,0.92
2025-11-26 00:25:53,Conservative,GBPUSD_otc,M10,BUY,WIN,0.92
2025-11-26 00:25:53,Breakout_Focus,GBPUSD_otc,M10,BUY,WIN,0.92
2025-11-26 00:25:53,Default,GBPUSD_otc,M10,BUY,WIN,0.92
2025-11-26 00:25:53,Aggressive,GBPUSD_otc,M10,BUY,WIN,0.92
2025-11-26 00:25:53,Conservative,GBPUSD_otc,M10,BUY,WIN,0.92
2025-11-26 00:25:53,Breakout_Focus,GBPUSD_otc,M10,BUY,WIN,0.92
2025-11-26 00:25:53,Default,EURUSD_otc,M10,BUY,WIN,0.92
2025-11-26 00:25:53,Aggressive,EURUSD_otc,M10,BUY,WIN,0.92
2025-11-26 00:25:53,Conservative,EURUSD_otc,M10,BUY,WIN,0.92
2025-11-26 00:25:53,Breakout_Focus,EURUSD_otc,M10,BUY,WIN,0.92
2025-11-26 00:25:53,Default,EURUSD_otc,M10,BUY,WIN,0.92
2025-11-26 00:25:53,Aggressive,EURUSD_otc,M10,BUY,WIN,0.92
2025-11-26 00:25:53,Conservative,EURUSD_otc,M10,BUY,WIN,0.92
2025-11-26 00:25:53,Breakout_Focus,EURUSD_otc,M10,BUY,WIN,0.92
2025-11-26 00:25:54,Default,AUDUSD_otc,M10,BUY,LOSS,-1.0
2025-11-26 00:25:54,Aggressive,AUDUSD_otc,M10,BUY,LOSS,-1.0
2025-11-26 00:25:54,Conservative,AUDUSD_otc,M10,BUY,LOSS,-1.0
2025-11-26 00:25:54,Breakout_Focus,AUDUSD_otc,M10,BUY,LOSS,-1.0
2025-11-26 00:25:54,Default,AUDUSD_otc,M10,BUY,LOSS,-1.0
2025-11-26 00:25:54,Aggressive,AUDUSD_otc,M10,BUY,LOSS,-1.0
2025-11-26 00:25:54,Conservative,AUDUSD_otc,M10,BUY,LOSS,-1.0
2025-11-26 00:25:54,Breakout_Focus,AUDUSD_otc,M10,BUY,LOSS,-1.0
2025-11-26 00:25:55,Aggressive,AUDCAD_otc,M10,SELL,WIN,0.92
2025-11-26 00:25:55,Aggressive,AUDCAD_otc,M10,SELL,WIN,0.92
2025-11-26 00:25:57,Default,USDARS_otc,M10,SELL,LOSS,-1.0
2025-11-26 00:25:57,Aggressive,USDARS_otc,M10,SELL,LOSS,-1.0
2025-11-26 00:25:57,Conservative,USDARS_otc,M10,SELL,LOSS,-1.0
2025-11-26 00:25:57,Breakout_Focus,USDARS_otc,M10,SELL,LOSS,-1.0
2025-11-26 00:25:57,Default,USDARS_otc,M10,SELL,LOSS,-1.0
2025-11-26 00:25:57,Aggressive,USDARS_otc,M10,SELL,LOSS,-1.0
2025-11-26 00:25:57,Conservative,USDARS_otc,M10,SELL,LOSS,-1.0
2025-11-26 00:25:57,Breakout_Focus,USDARS_otc,M10,SELL,LOSS,-1.0
2025-11-26 00:25:57,Default,#INTC_otc,M10,BUY,WIN,0.92
2025-11-26 00:25:57,Aggressive,#INTC_otc,M10,BUY,WIN,0.92
2025-11-26 00:25:57,Conservative,#INTC_otc,M10,BUY,WIN,0.92
